,antecedents,consequents,support,confidence,lift
0,"is_male, slope_flat, oldpeak_high, cp_asymptomatic",heart_disease,0.0913,0.9655,1.7451
1,"is_male, exercise_angina, slope_flat, oldpeak_high",heart_disease,0.0837,0.9625,1.7397
2,"exercise_angina, slope_flat, oldpeak_high, cp_asymptomatic",heart_disease,0.0804,0.961,1.737
3,"slope_flat, oldpeak_high, cp_asymptomatic",heart_disease,0.1,0.9583,1.7322
4,"is_male, ecg_abnormal, slope_flat, oldpeak_high",heart_disease,0.0913,0.9545,1.7253
5,"exercise_angina, slope_flat, oldpeak_high",heart_disease,0.0891,0.9535,1.7234
6,"is_male, ecg_abnormal, oldpeak_high, cp_asymptomatic",heart_disease,0.0967,0.9468,1.7113
7,"is_male, exercise_angina, oldpeak_high",heart_disease,0.113,0.9455,1.7089
8,"is_male, ecg_abnormal, exercise_angina, oldpeak_high",heart_disease,0.0924,0.9444,1.7071
9,"exercise_angina, oldpeak_high, cp_asymptomatic",heart_disease,0.1076,0.9429,1.7042
10,"is_male, ecg_abnormal, ca_zero, oldpeak_high, cp_asymptomatic",heart_disease,0.088,0.9419,1.7024
11,"is_male, exercise_angina, chol_normal, cp_asymptomatic",heart_disease,0.087,0.9412,1.7011
12,"is_male, oldpeak_high, cp_asymptomatic",heart_disease,0.1217,0.9412,1.7011
13,"is_male, ecg_abnormal, ca_zero, oldpeak_high, exercise_angina",heart_disease,0.0859,0.9405,1.6999
14,"ecg_abnormal, exercise_angina, oldpeak_high, cp_asymptomatic",heart_disease,0.0848,0.9398,1.6986
15,"is_male, exercise_angina, oldpeak_high, cp_asymptomatic",heart_disease,0.1011,0.9394,1.6979
16,"is_male, ecg_abnormal, oldpeak_high, exercise_angina, cp_asymptomatic",heart_disease,0.0815,0.9375,1.6945
17,"is_male, cp_asymptomatic, exercise_angina, bp_elevated",heart_disease,0.0978,0.9375,1.6945
18,"ca_positive, cp_asymptomatic",heart_disease,0.0815,0.9375,1.6945
19,"is_male, slope_flat, oldpeak_high",heart_disease,0.113,0.9369,1.6935
